targetMolecule,localFile,sourceType,sheetOrPage,rowOrSection,exactMatchedValue,matchedTerm,matchType,atcCode,evidenceLevel,isPackBearing,parserSupported,warning
Lenalidomide,Lenalidomide__LIS_2234/LIS 2234 Vedlegg 03 Prisskjema.xlsx,price_schedule,Prisskjema,7,Lenalidomid,lenalidomid,name,,document_name,true,true,
Lenalidomide,Lenalidomide__LIS_2234/LIS 2234 Vedlegg 03 Prisskjema.xlsx,price_schedule,Prisskjema,8,L04AX04,L04AX04,atc,L04AX04,document_atc,true,true,
Lenalidomide,Lenalidomide__LIS_2234/LIS 2234 Vedlegg 03 Prisskjema.xlsx,price_schedule,Prisskjema,8,Lenalidomid,lenalidomid,name,,document_name,true,true,
Lenalidomide,Lenalidomide__LIS_2234/LIS 2234 Vedlegg 03 Prisskjema.xlsx,price_schedule,Prisskjema,9,L04AX04,L04AX04,atc,L04AX04,document_atc,true,true,
Lenalidomide,Lenalidomide__LIS_2234/LIS 2234 Vedlegg 03 Prisskjema.xlsx,price_schedule,Prisskjema,9,Lenalidomid,lenalidomid,name,,document_name,true,true,
Lenalidomide,Lenalidomide__LIS_2234/LIS 2234 Vedlegg 03 Prisskjema.xlsx,price_schedule,Prisskjema,10,L04AX04,L04AX04,atc,L04AX04,document_atc,true,true,
Lenalidomide,Lenalidomide__LIS_2234/LIS 2234 Vedlegg 03 Prisskjema.xlsx,price_schedule,Prisskjema,10,Lenalidomid,lenalidomid,name,,document_name,true,true,
Everolimus,Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,price_schedule,Forside,15,2632a Everolimus og Mykofenolsyre (enterotablett),everolimus,name,,document_name,false,true,
Everolimus,Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,7,L04AH02,L04AH02,atc,L04AH02,document_atc,true,true,
Everolimus,Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,7,Everolimus,everolimus,name,,document_name,true,true,
Everolimus,Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,8,L04AH02,L04AH02,atc,L04AH02,document_atc,true,true,
Everolimus,Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,8,Everolimus,everolimus,name,,document_name,true,true,
Everolimus,Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,9,L04AH02,L04AH02,atc,L04AH02,document_atc,true,true,
Everolimus,Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,9,Everolimus,everolimus,name,,document_name,true,true,
Everolimus,Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,10,L04AH02,L04AH02,atc,L04AH02,document_atc,true,true,
Everolimus,Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,10,Everolimus,everolimus,name,,document_name,true,true,
Everolimus,Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,11,L04AH02,L04AH02,atc,L04AH02,document_atc,true,true,
Everolimus,Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,11,Everolimus,everolimus,name,,document_name,true,true,
Everolimus,Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,12,L04AH02,L04AH02,atc,L04AH02,document_atc,true,true,
Everolimus,Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,12,Everolimus,everolimus,name,,document_name,true,true,
Everolimus,Everolimus__2632a/2632a Bilag 3 Kravspesifikasjon.xlsx,requirements_specification,3. Omfang,7,L04AH02,L04AH02,atc,L04AH02,document_atc,false,false,
Everolimus,Everolimus__2632a/2632a Bilag 3 Kravspesifikasjon.xlsx,requirements_specification,3. Omfang,7,"Everolimus, tabletter",everolimus,name,,document_name,false,false,
Everolimus,Everolimus__2632a/2632a Bilag 3 Kravspesifikasjon.xlsx,requirements_specification,3. Omfang,8,L04AH02,L04AH02,atc,L04AH02,document_atc,false,false,
Everolimus,Everolimus__2632a/2632a Bilag 3 Kravspesifikasjon.xlsx,requirements_specification,3. Omfang,8,"Everolimus, dispergerbare tabletter",everolimus,name,,document_name,false,false,
Everolimus,Everolimus__2632a/2632a Bilag 3 Kravspesifikasjon.xlsx,requirements_specification,4. Krav til prod.,29,4.1 Krav til delkontrakt 1 - Everolimus (tabletter),everolimus,name,,document_name,false,false,
Everolimus,Everolimus__2632a/2632a Bilag 3 Kravspesifikasjon.xlsx,requirements_specification,4. Krav til prod.,36,4.2 Krav til delkontrakt 2 - Everolimus (dispergerbare tabletter),everolimus,name,,document_name,false,false,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,price_schedule,Forside,15,2507gj-1 Anagrelid,anagrelid,name,,document_name,false,true,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,5,"Anagrelide bluefish kaps 0,5mg",anagrelide,name,,document_name,true,true,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,5,L01XX35,L01XX35,atc,L01XX35,document_atc,true,true,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,5,Anagrelid,anagrelid,name,,document_name,true,true,
