targetMolecule,queryUsed,matchedTerm,detectionMethod,noticeId,tenderRef,title,buyer,publicationDate,noticeType,status,lifecycleStage,estimatedValue,currency,noticeUrl,documentUrls,proposedDecision,decisionReason,language,possibleDuplicateOf
Paliperidone,name:paliperidon,paliperidone,name_in_notice,434619-2026,LIS,"Norway – Medical equipments, pharmaceuticals and personal care products – 2601c paliperidone",SYKEHUSINNKJØP HF,2026-06-25,cn-standard,open,competition,,NOK,https://ted.europa.eu/en/notice/-/detail/434619-2026,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,404973-2025
Paliperidone,name:paliperidon,Paliperidon,name_in_notice,682047-2022,LIS,"Voluntary ex-ante transparency notice - Supplementary contracts for LIS 2301d ureg, ATC codes J05AF01, N05AX13, N05CD08, P01CX04, S01AX18, S01EE09 and V03AB13",SYKEHUSINNKJØP HF,2022-12-08,V,,V,14671946.0,NOK,https://ted.europa.eu/en/notice/-/detail/682047-2022,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,404973-2025
Paliperidone,atc:N05AX13,Paliperidon,name_in_notice,682047-2022,LIS,"Voluntary ex-ante transparency notice - Supplementary contracts for LIS 2301d ureg, ATC codes J05AF01, N05AX13, N05CD08, P01CX04, S01AX18, S01EE09 and V03AB13",SYKEHUSINNKJØP HF,2022-12-08,V,,V,14671946.0,NOK,https://ted.europa.eu/en/notice/-/detail/682047-2022,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,404973-2025
Paliperidone,atc:N05AX13,N05AX13,atc_in_notice,667535-2022,2021/108,Voluntary ex-ante transparency notice - Entry into a contract for the procurement of various antipsychotics for the national preparedness reserves,SYKEHUSINNKJØP HF,2022-12-01,V,,V,7432000.0,NOK,https://ted.europa.eu/en/notice/-/detail/667535-2022,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,
Paliperidone,buyer+name:Sykehusinnkjøp HF,paliperidone,name_in_notice,434619-2026,LIS,"Norway – Medical equipments, pharmaceuticals and personal care products – 2601c paliperidone",SYKEHUSINNKJØP HF,2026-06-25,cn-standard,open,competition,,NOK,https://ted.europa.eu/en/notice/-/detail/434619-2026,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,404973-2025
Paliperidone,buyer+name:Sykehusinnkjøp HF,Paliperidon,name_in_notice,682047-2022,LIS,"Voluntary ex-ante transparency notice - Supplementary contracts for LIS 2301d ureg, ATC codes J05AF01, N05AX13, N05CD08, P01CX04, S01AX18, S01EE09 and V03AB13",SYKEHUSINNKJØP HF,2022-12-08,V,,V,14671946.0,NOK,https://ted.europa.eu/en/notice/-/detail/682047-2022,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,404973-2025
Paliperidone,buyer+name:Sykehusinnkjøp,paliperidone,name_in_notice,434619-2026,LIS,"Norway – Medical equipments, pharmaceuticals and personal care products – 2601c paliperidone",SYKEHUSINNKJØP HF,2026-06-25,cn-standard,open,competition,,NOK,https://ted.europa.eu/en/notice/-/detail/434619-2026,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,404973-2025
Paliperidone,buyer+name:Sykehusinnkjøp,Paliperidon,name_in_notice,682047-2022,LIS,"Voluntary ex-ante transparency notice - Supplementary contracts for LIS 2301d ureg, ATC codes J05AF01, N05AX13, N05CD08, P01CX04, S01AX18, S01EE09 and V03AB13",SYKEHUSINNKJØP HF,2022-12-08,V,,V,14671946.0,NOK,https://ted.europa.eu/en/notice/-/detail/682047-2022,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,404973-2025
Lenalidomide,tender_ref:LIS 2234,Lenalidomide,name_in_notice,335380-2021,2021/118,LIS 2234 Lenalidomide,Sykehusinnkjøp HF,2021-07-02,7,,award,,NOK,https://ted.europa.eu/en/notice/-/detail/335380-2021,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,
Lenalidomide,tender_ref:LIS 2234,Lenalidomide,name_in_notice,300984-2021,LIS2234,LIS 2234 Lenalidomide,Sykehusinnkjøp HF,2021-06-15,3,,competition,320000000.0,NOK,https://ted.europa.eu/en/notice/-/detail/300984-2021,https://www.mercell.com/m/file/GetFile.ashx?id=158259205&version=0;https://www.mercell.com/m/file/GetFile.ashx?id=158259201&version=0;https://www.mercell.com/m/file/GetFile.ashx?id=158259190&version=0,login_wall,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference; Mercell document URLs require login,en,
