noticeId,itemNumber,field,rawValue,cleanedValue,action,reason,sourceDocument,sourceRow
682047-2022,362150,noticeType,V,Voluntary ex ante transparency notice,map_notice_type,,2301d Vedlegg 03 Prisskjema legem versj1.xlsx,426
682047-2022,362150,procedureType,V,Award without prior publication,map_procedure_type,,2301d Vedlegg 03 Prisskjema legem versj1.xlsx,426
434619-2026,480609,noticeType,cn-standard,Competition notice,map_notice_type,,2601c_Bilag_2_Prisskjema.xlsx,5
434619-2026,480609,procedureType,open,Open procedure,map_procedure_type,,2601c_Bilag_2_Prisskjema.xlsx,5
434619-2026,379151,noticeType,cn-standard,Competition notice,map_notice_type,,2601c_Bilag_2_Prisskjema.xlsx,6
434619-2026,379151,procedureType,open,Open procedure,map_procedure_type,,2601c_Bilag_2_Prisskjema.xlsx,6
434619-2026,556066,noticeType,cn-standard,Competition notice,map_notice_type,,2601c_Bilag_2_Prisskjema.xlsx,7
434619-2026,556066,procedureType,open,Open procedure,map_procedure_type,,2601c_Bilag_2_Prisskjema.xlsx,7
434619-2026,122031,noticeType,cn-standard,Competition notice,map_notice_type,,2601c_Bilag_2_Prisskjema.xlsx,8
434619-2026,122031,procedureType,open,Open procedure,map_procedure_type,,2601c_Bilag_2_Prisskjema.xlsx,8
434619-2026,58609,noticeType,cn-standard,Competition notice,map_notice_type,,2601c_Bilag_2_Prisskjema.xlsx,9
434619-2026,58609,procedureType,open,Open procedure,map_procedure_type,,2601c_Bilag_2_Prisskjema.xlsx,9
434619-2026,307903,noticeType,cn-standard,Competition notice,map_notice_type,,2601c_Bilag_2_Prisskjema.xlsx,10
434619-2026,307903,procedureType,open,Open procedure,map_procedure_type,,2601c_Bilag_2_Prisskjema.xlsx,10
434619-2026,412581,noticeType,cn-standard,Competition notice,map_notice_type,,2601c_Bilag_2_Prisskjema.xlsx,11
434619-2026,412581,procedureType,open,Open procedure,map_procedure_type,,2601c_Bilag_2_Prisskjema.xlsx,11
434619-2026,220132,noticeType,cn-standard,Competition notice,map_notice_type,,2601c_Bilag_2_Prisskjema.xlsx,12
434619-2026,220132,procedureType,open,Open procedure,map_procedure_type,,2601c_Bilag_2_Prisskjema.xlsx,12
434619-2026,409745,noticeType,cn-standard,Competition notice,map_notice_type,,2601c_Bilag_2_Prisskjema.xlsx,13
434619-2026,409745,procedureType,open,Open procedure,map_procedure_type,,2601c_Bilag_2_Prisskjema.xlsx,13
434619-2026,343892,noticeType,cn-standard,Competition notice,map_notice_type,,2601c_Bilag_2_Prisskjema.xlsx,14
434619-2026,343892,procedureType,open,Open procedure,map_procedure_type,,2601c_Bilag_2_Prisskjema.xlsx,14
434619-2026,536460,noticeType,cn-standard,Competition notice,map_notice_type,,2601c_Bilag_2_Prisskjema.xlsx,15
434619-2026,536460,procedureType,open,Open procedure,map_procedure_type,,2601c_Bilag_2_Prisskjema.xlsx,15
434619-2026,445725,noticeType,cn-standard,Competition notice,map_notice_type,,2601c_Bilag_2_Prisskjema.xlsx,16
434619-2026,445725,procedureType,open,Open procedure,map_procedure_type,,2601c_Bilag_2_Prisskjema.xlsx,16
434619-2026,536742,noticeType,cn-standard,Competition notice,map_notice_type,,2601c_Bilag_2_Prisskjema.xlsx,17
434619-2026,536742,procedureType,open,Open procedure,map_procedure_type,,2601c_Bilag_2_Prisskjema.xlsx,17
434619-2026,549759,noticeType,cn-standard,Competition notice,map_notice_type,,2601c_Bilag_2_Prisskjema.xlsx,18
434619-2026,549759,procedureType,open,Open procedure,map_procedure_type,,2601c_Bilag_2_Prisskjema.xlsx,18
434619-2026,47538,noticeType,cn-standard,Competition notice,map_notice_type,,2601c_Bilag_2_Prisskjema.xlsx,19
434619-2026,47538,procedureType,open,Open procedure,map_procedure_type,,2601c_Bilag_2_Prisskjema.xlsx,19
434619-2026,392171,noticeType,cn-standard,Competition notice,map_notice_type,,2601c_Bilag_2_Prisskjema.xlsx,20
434619-2026,392171,procedureType,open,Open procedure,map_procedure_type,,2601c_Bilag_2_Prisskjema.xlsx,20
