productMolecule,noticeId,tenderRef,itemNumber,productName,strength,packSize,sourceAtc,dmpMatchedItem,dmpProductName,dmpStrength,dmpPack,dmpAtc,tenderDocumentMaxAip,dmpMaxAip,selectedMaxPrice,maxPriceSource,maxPriceEffectiveDate,joinOutcome,conflictReason
Paliperidone,434619-2026,2601c,307903,Xeplion depotinj  75mg/spr,75 mg,1.0,N05AX13,,,,,,,,,,,no_item_match,
Paliperidone,434619-2026,2601c,412581,Xeplion depotinj  75mg/spr,75 mg,1.0,N05AX13,412581,Xeplion,75 mg,"Ferdigfylt sprøyte 75 mg, stk",N05AX13,1582.91,1582.91,1582.91,tender_document,,exact_validated,
Paliperidone,434619-2026,2601c,220132,Xeplion depotinj 100mg/spr,100 mg,1.0,N05AX13,,,,,,,,,,,no_item_match,
Paliperidone,434619-2026,2601c,409745,Xeplion depotinj 100mg/spr,100 mg,1.0,N05AX13,409745,Xeplion,100 mg,"Ferdigfylt sprøyte 100 mg, stk",N05AX13,1967.77,1967.77,1967.77,tender_document,,exact_validated,
Paliperidone,434619-2026,2601c,343892,Xeplion depotinj 150mg/spr,150 mg,1.0,N05AX13,,,,,,,,,,,no_item_match,
Paliperidone,434619-2026,2601c,536460,Xeplion depotinj 150mg/spr,150 mg,1.0,N05AX13,536460,Xeplion,150 mg,"Ferdigfylt sprøyte 150 mg, stk",N05AX13,2749.81,2749.81,2749.81,tender_document,,exact_validated,
Paliperidone,434619-2026,2601c,445725,Xeplion ori depotinj 150mg/spr,150 mg,1.0,N05AX13,445725,Xeplion,150 mg,Ferdigfylt sprøyte 150 mg,N05AX13,2749.81,2749.81,2749.81,tender_document,,exact_validated,
Paliperidone,434619-2026,2601c,536742,Paliperidon zen depinj  50mg,50 mg,1.0,N05AX13,536742,Paliperidon Zentiva,50 mg,"Ferdigfylt sprøyte 50 mg, stk",N05AX13,1237.43,1237.43,1237.43,tender_document,,exact_validated,
Paliperidone,434619-2026,2601c,549759,Paliperidon zen depinj  75mg,75 mg,1.0,N05AX13,549759,Paliperidon Zentiva,75 mg,"Ferdigfylt sprøyte 75 mg, stk",N05AX13,1582.91,1582.91,1582.91,tender_document,,exact_validated,
Paliperidone,434619-2026,2601c,47538,Paliperidon zen depinj 100mg,100 mg,1.0,N05AX13,047538,Paliperidon Zentiva,100 mg,"Ferdigfylt sprøyte 100 mg, stk",N05AX13,1967.77,1967.77,1967.77,tender_document,,exact_validated,
Paliperidone,434619-2026,2601c,392171,Paliperidon zen depinj 150mg,150 mg,1.0,N05AX13,392171,Paliperidon Zentiva,150 mg,"Ferdigfylt sprøyte 150 mg, stk",N05AX13,2749.81,2749.81,2749.81,tender_document,,exact_validated,
